### Starting TaskPrologue of job 1560982 on tg095 at Sun Mar 29 11:34:14 AM CEST 2026
Running on cores 96-127 with governor ondemand
Sun Mar 29 11:34:14 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.20             Driver Version: 580.126.20     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   34C    P0             50W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
### Finished TaskPrologue

=== EXPERIMENT START ===
Job ID:    1560982
Node:      tg095
Partition: a100
Start:     Sun Mar 29 11:34:15 AM CEST 2026
---
WARN: conda env 'scvi_env' not found, using pip user packages
NVIDIA A100-SXM4-40GB, 40960 MiB, 8.0
---
fatal: not a git repository (or any parent up to mount point /home)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).
/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/scripts/run_experiment.py:432: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  run_id = datetime.utcnow().strftime("run_%Y%m%dT%H%M%SZ")
2026-03-29 11:34:33 | experiment | INFO |   TensorBoard: logs/tensorboard/run_20260329T093433Z
2026-03-29 11:36:55 | experiment | INFO |   -> ARI=0.0001, AMI=0.0009, Sil=-0.1128, Recon=0.212405, CPUmem=4.2MB, Time=6.8s
2026-03-29 11:36:55 | experiment | INFO | 
--- pbmc3k | ae:mse | d=12 | seed=44 ---
2026-03-29 11:37:02 | experiment | INFO |   -> ARI=-0.0007, AMI=-0.0011, Sil=-0.0550, Recon=0.212238, CPUmem=4.2MB, Time=7.6s
2026-03-29 11:37:02 | experiment | INFO | 
--- pbmc3k | ae:mse | d=16 | seed=42 ---
2026-03-29 11:37:09 | experiment | INFO |   -> ARI=0.0011, AMI=-0.0006, Sil=-0.0535, Recon=0.213540, CPUmem=4.2MB, Time=6.8s
2026-03-29 11:37:09 | experiment | INFO | 
--- pbmc3k | ae:mse | d=16 | seed=43 ---
2026-03-29 11:37:17 | experiment | INFO |   -> ARI=-0.0000, AMI=-0.0012, Sil=-0.0750, Recon=0.212213, CPUmem=3.3MB, Time=7.7s
2026-03-29 11:37:17 | experiment | INFO | 
--- pbmc3k | ae:mse | d=16 | seed=44 ---
2026-03-29 11:37:25 | experiment | INFO |   -> ARI=-0.0001, AMI=-0.0012, Sil=-0.0755, Recon=0.211114, CPUmem=4.1MB, Time=7.9s
2026-03-29 11:37:25 | experiment | INFO | 
--- pbmc3k | ae:mse | d=20 | seed=42 ---
2026-03-29 11:37:32 | experiment | INFO |   -> ARI=0.0015, AMI=-0.0006, Sil=-0.0364, Recon=0.213258, CPUmem=4.2MB, Time=7.7s
2026-03-29 11:37:32 | experiment | INFO | 
--- pbmc3k | ae:mse | d=20 | seed=43 ---
2026-03-29 11:37:40 | experiment | INFO |   -> ARI=-0.0014, AMI=0.0003, Sil=-0.0625, Recon=0.213293, CPUmem=4.2MB, Time=7.5s
2026-03-29 11:37:40 | experiment | INFO | 
--- pbmc3k | ae:mse | d=20 | seed=44 ---
2026-03-29 11:37:46 | experiment | INFO |   -> ARI=-0.0009, AMI=0.0000, Sil=-0.1112, Recon=0.212577, CPUmem=4.2MB, Time=6.6s
2026-03-29 11:37:46 | experiment | INFO | 
--- pbmc3k | ae:mse | d=24 | seed=42 ---
2026-03-29 11:37:54 | experiment | INFO |   -> ARI=0.0022, AMI=0.0020, Sil=-0.0730, Recon=0.212011, CPUmem=4.2MB, Time=7.4s
2026-03-29 11:37:54 | experiment | INFO | 
--- pbmc3k | ae:mse | d=24 | seed=43 ---
2026-03-29 11:38:01 | experiment | INFO |   -> ARI=-0.0011, AMI=-0.0008, Sil=-0.0710, Recon=0.212632, CPUmem=4.2MB, Time=7.1s
2026-03-29 11:38:01 | experiment | INFO | 
--- pbmc3k | ae:mse | d=24 | seed=44 ---
2026-03-29 11:38:07 | experiment | INFO |   -> ARI=0.0000, AMI=-0.0001, Sil=-0.0612, Recon=0.213587, CPUmem=4.2MB, Time=6.2s
2026-03-29 11:38:07 | experiment | INFO | 
--- pbmc3k | ae:mse | d=32 | seed=42 ---
2026-03-29 11:38:14 | experiment | INFO |   -> ARI=0.0002, AMI=-0.0008, Sil=-0.0704, Recon=0.213007, CPUmem=4.2MB, Time=7.3s
2026-03-29 11:38:14 | experiment | INFO | 
--- pbmc3k | ae:mse | d=32 | seed=43 ---
2026-03-29 11:38:22 | experiment | INFO |   -> ARI=0.0011, AMI=-0.0012, Sil=-0.0471, Recon=0.213043, CPUmem=3.3MB, Time=7.3s
2026-03-29 11:38:22 | experiment | INFO | 
--- pbmc3k | ae:mse | d=32 | seed=44 ---
2026-03-29 11:38:30 | experiment | INFO |   -> ARI=-0.0011, AMI=-0.0010, Sil=-0.1354, Recon=0.212159, CPUmem=4.1MB, Time=8.0s
2026-03-29 11:38:30 | experiment | INFO | 
--- pbmc3k | ae:mse | d=48 | seed=42 ---
2026-03-29 11:38:37 | experiment | INFO |   -> ARI=0.0005, AMI=-0.0010, Sil=-0.0361, Recon=0.212192, CPUmem=4.2MB, Time=7.7s
2026-03-29 11:38:37 | experiment | INFO | 
--- pbmc3k | ae:mse | d=48 | seed=43 ---
2026-03-29 11:38:44 | experiment | INFO |   -> ARI=0.0023, AMI=-0.0004, Sil=-0.2246, Recon=0.213033, CPUmem=4.2MB, Time=6.6s
2026-03-29 11:38:44 | experiment | INFO | 
--- pbmc3k | ae:mse | d=48 | seed=44 ---
2026-03-29 11:38:51 | experiment | INFO |   -> ARI=-0.0013, AMI=0.0018, Sil=-0.0613, Recon=0.213408, CPUmem=4.2MB, Time=6.7s
2026-03-29 11:38:51 | experiment | INFO | 
--- pbmc3k | ae:mse | d=64 | seed=42 ---
2026-03-29 11:38:58 | experiment | INFO |   -> ARI=-0.0011, AMI=0.0009, Sil=-0.0811, Recon=0.212684, CPUmem=3.3MB, Time=7.5s
2026-03-29 11:38:58 | experiment | INFO | 
--- pbmc3k | ae:mse | d=64 | seed=43 ---
2026-03-29 11:39:05 | experiment | INFO |   -> ARI=-0.0019, AMI=0.0004, Sil=-0.1171, Recon=0.213812, CPUmem=3.3MB, Time=6.3s
2026-03-29 11:39:05 | experiment | INFO | 
--- pbmc3k | ae:mse | d=64 | seed=44 ---
2026-03-29 11:39:12 | experiment | INFO |   -> ARI=-0.0000, AMI=0.0009, Sil=-0.0722, Recon=0.211950, CPUmem=4.2MB, Time=7.7s
2026-03-29 11:39:12 | experiment | INFO | 
--- pbmc3k | vae:mse | d=2 | seed=42 ---
2026-03-29 11:39:18 | experiment | INFO |   -> ARI=0.0006, AMI=-0.0012, Sil=-0.1224, Recon=0.262381, CPUmem=7.3MB, Time=5.2s
2026-03-29 11:39:18 | experiment | INFO | 
--- pbmc3k | vae:mse | d=2 | seed=43 ---
2026-03-29 11:39:21 | experiment | INFO |   -> ARI=0.0002, AMI=0.0007, Sil=-0.0935, Recon=0.262405, CPUmem=7.2MB, Time=3.6s
2026-03-29 11:39:21 | experiment | INFO | 
--- pbmc3k | vae:mse | d=2 | seed=44 ---
2026-03-29 11:39:24 | experiment | INFO |   -> ARI=-0.0006, AMI=0.0002, Sil=-0.0975, Recon=0.262508, CPUmem=8.1MB, Time=3.4s
2026-03-29 11:39:24 | experiment | INFO | 
--- pbmc3k | vae:mse | d=4 | seed=42 ---
2026-03-29 11:39:28 | experiment | INFO |   -> ARI=0.0010, AMI=-0.0008, Sil=-0.0360, Recon=0.262513, CPUmem=8.1MB, Time=3.4s
2026-03-29 11:39:28 | experiment | INFO | 
--- pbmc3k | vae:mse | d=4 | seed=43 ---
2026-03-29 11:39:32 | experiment | INFO |   -> ARI=0.0009, AMI=0.0009, Sil=-0.0709, Recon=0.262581, CPUmem=7.3MB, Time=4.1s
2026-03-29 11:39:32 | experiment | INFO | 
--- pbmc3k | vae:mse | d=4 | seed=44 ---
2026-03-29 11:39:37 | experiment | INFO |   -> ARI=-0.0023, AMI=-0.0005, Sil=-0.1152, Recon=0.262470, CPUmem=7.3MB, Time=4.8s
2026-03-29 11:39:37 | experiment | INFO | 
--- pbmc3k | vae:mse | d=6 | seed=42 ---
2026-03-29 11:39:40 | experiment | INFO |   -> ARI=0.0021, AMI=0.0017, Sil=-0.0781, Recon=0.262787, CPUmem=8.1MB, Time=3.3s
2026-03-29 11:39:40 | experiment | INFO | 
--- pbmc3k | vae:mse | d=6 | seed=43 ---
2026-03-29 11:39:45 | experiment | INFO |   -> ARI=-0.0018, AMI=0.0004, Sil=-0.1016, Recon=0.262423, CPUmem=8.2MB, Time=4.4s
2026-03-29 11:39:45 | experiment | INFO | 
--- pbmc3k | vae:mse | d=6 | seed=44 ---
2026-03-29 11:39:49 | experiment | INFO |   -> ARI=-0.0021, AMI=-0.0006, Sil=-0.1142, Recon=0.262483, CPUmem=7.2MB, Time=4.4s
2026-03-29 11:39:49 | experiment | INFO | 
--- pbmc3k | vae:mse | d=8 | seed=42 ---
2026-03-29 11:39:54 | experiment | INFO |   -> ARI=-0.0003, AMI=0.0002, Sil=-0.1268, Recon=0.262400, CPUmem=8.2MB, Time=5.0s
2026-03-29 11:39:54 | experiment | INFO | 
--- pbmc3k | vae:mse | d=8 | seed=43 ---
2026-03-29 11:39:59 | experiment | INFO |   -> ARI=-0.0004, AMI=-0.0006, Sil=-0.0571, Recon=0.262528, CPUmem=8.2MB, Time=4.8s
2026-03-29 11:39:59 | experiment | INFO | 
--- pbmc3k | vae:mse | d=8 | seed=44 ---
2026-03-29 11:40:02 | experiment | INFO |   -> ARI=0.0003, AMI=-0.0020, Sil=-0.0522, Recon=0.262780, CPUmem=8.1MB, Time=3.5s
2026-03-29 11:40:02 | experiment | INFO | 
--- pbmc3k | vae:mse | d=10 | seed=42 ---
2026-03-29 11:40:07 | experiment | INFO |   -> ARI=-0.0005, AMI=-0.0011, Sil=-0.0962, Recon=0.262679, CPUmem=8.2MB, Time=4.3s
2026-03-29 11:40:07 | experiment | INFO | 
--- pbmc3k | vae:mse | d=10 | seed=43 ---
2026-03-29 11:40:10 | experiment | INFO |   -> ARI=0.0003, AMI=-0.0014, Sil=-0.1820, Recon=0.262747, CPUmem=8.1MB, Time=3.9s
2026-03-29 11:40:10 | experiment | INFO | 
--- pbmc3k | vae:mse | d=10 | seed=44 ---
2026-03-29 11:40:15 | experiment | INFO |   -> ARI=-0.0017, AMI=0.0006, Sil=-0.1641, Recon=0.262592, CPUmem=8.2MB, Time=4.8s
2026-03-29 11:40:15 | experiment | INFO | 
--- pbmc3k | vae:mse | d=12 | seed=42 ---
2026-03-29 11:40:20 | experiment | INFO |   -> ARI=-0.0011, AMI=-0.0025, Sil=-0.1608, Recon=0.262692, CPUmem=8.1MB, Time=4.4s
2026-03-29 11:40:20 | experiment | INFO | 
--- pbmc3k | vae:mse | d=12 | seed=43 ---
2026-03-29 11:40:25 | experiment | INFO |   -> ARI=0.0008, AMI=0.0001, Sil=-0.1300, Recon=0.262498, CPUmem=7.3MB, Time=5.5s
2026-03-29 11:40:25 | experiment | INFO | 
--- pbmc3k | vae:mse | d=12 | seed=44 ---
2026-03-29 11:40:29 | experiment | INFO |   -> ARI=-0.0006, AMI=0.0026, Sil=-0.1223, Recon=0.262734, CPUmem=8.2MB, Time=4.3s
2026-03-29 11:40:29 | experiment | INFO | 
--- pbmc3k | vae:mse | d=16 | seed=42 ---
2026-03-29 11:40:36 | experiment | INFO |   -> ARI=-0.0010, AMI=-0.0003, Sil=-0.0849, Recon=0.262365, CPUmem=8.2MB, Time=6.7s
2026-03-29 11:40:36 | experiment | INFO | 
--- pbmc3k | vae:mse | d=16 | seed=43 ---
2026-03-29 11:40:41 | experiment | INFO |   -> ARI=-0.0009, AMI=0.0001, Sil=-0.1843, Recon=0.262734, CPUmem=8.1MB, Time=4.7s
2026-03-29 11:40:41 | experiment | INFO | 
--- pbmc3k | vae:mse | d=16 | seed=44 ---
2026-03-29 11:40:47 | experiment | INFO |   -> ARI=-0.0021, AMI=0.0013, Sil=-0.1237, Recon=0.262533, CPUmem=7.3MB, Time=6.2s
2026-03-29 11:40:47 | experiment | INFO | 
--- pbmc3k | vae:mse | d=20 | seed=42 ---
2026-03-29 11:40:52 | experiment | INFO |   -> ARI=0.0015, AMI=0.0001, Sil=-0.0228, Recon=0.262721, CPUmem=7.3MB, Time=5.2s
2026-03-29 11:40:52 | experiment | INFO | 
--- pbmc3k | vae:mse | d=20 | seed=43 ---
2026-03-29 11:40:58 | experiment | INFO |   -> ARI=-0.0006, AMI=0.0010, Sil=-0.1138, Recon=0.262621, CPUmem=8.2MB, Time=5.5s
2026-03-29 11:40:58 | experiment | INFO | 
--- pbmc3k | vae:mse | d=20 | seed=44 ---
2026-03-29 11:41:01 | experiment | INFO |   -> ARI=-0.0007, AMI=0.0007, Sil=-0.0268, Recon=0.263199, CPUmem=8.1MB, Time=3.8s
2026-03-29 11:41:01 | experiment | INFO | 
--- pbmc3k | vae:mse | d=24 | seed=42 ---
2026-03-29 11:41:08 | experiment | INFO |   -> ARI=0.0015, AMI=0.0016, Sil=-0.2900, Recon=0.262535, CPUmem=8.2MB, Time=6.2s
2026-03-29 11:41:08 | experiment | INFO | 
--- pbmc3k | vae:mse | d=24 | seed=43 ---
2026-03-29 11:41:14 | experiment | INFO |   -> ARI=0.0016, AMI=-0.0003, Sil=-0.2147, Recon=0.262709, CPUmem=8.2MB, Time=5.9s
2026-03-29 11:41:14 | experiment | INFO | 
--- pbmc3k | vae:mse | d=24 | seed=44 ---
2026-03-29 11:41:18 | experiment | INFO |   -> ARI=0.0008, AMI=0.0015, Sil=-0.0686, Recon=0.262821, CPUmem=8.1MB, Time=4.6s
2026-03-29 11:41:18 | experiment | INFO | 
--- pbmc3k | vae:mse | d=32 | seed=42 ---
2026-03-29 11:41:23 | experiment | INFO |   -> ARI=-0.0002, AMI=-0.0001, Sil=-0.0670, Recon=0.263326, CPUmem=8.2MB, Time=4.5s
2026-03-29 11:41:23 | experiment | INFO | 
--- pbmc3k | vae:mse | d=32 | seed=43 ---
2026-03-29 11:41:30 | experiment | INFO |   -> ARI=-0.0007, AMI=-0.0003, Sil=-0.1873, Recon=0.262589, CPUmem=8.2MB, Time=6.9s
2026-03-29 11:41:30 | experiment | INFO | 
--- pbmc3k | vae:mse | d=32 | seed=44 ---
2026-03-29 11:41:33 | experiment | INFO |   -> ARI=0.0009, AMI=-0.0013, Sil=-0.1555, Recon=0.264151, CPUmem=8.1MB, Time=3.2s
2026-03-29 11:41:33 | experiment | INFO | 
--- pbmc3k | vae:mse | d=48 | seed=42 ---
2026-03-29 11:41:40 | experiment | INFO |   -> ARI=0.0033, AMI=0.0018, Sil=-0.2445, Recon=0.262764, CPUmem=8.2MB, Time=7.1s
2026-03-29 11:41:40 | experiment | INFO | 
--- pbmc3k | vae:mse | d=48 | seed=43 ---
2026-03-29 11:41:45 | experiment | INFO |   -> ARI=0.0030, AMI=-0.0009, Sil=-0.1194, Recon=0.263036, CPUmem=8.2MB, Time=4.9s
2026-03-29 11:41:45 | experiment | INFO | 
--- pbmc3k | vae:mse | d=48 | seed=44 ---
2026-03-29 11:41:51 | experiment | INFO |   -> ARI=-0.0010, AMI=-0.0008, Sil=-0.2297, Recon=0.262722, CPUmem=8.2MB, Time=6.6s
2026-03-29 11:41:51 | experiment | INFO | 
--- pbmc3k | vae:mse | d=64 | seed=42 ---
2026-03-29 11:41:56 | experiment | INFO |   -> ARI=-0.0002, AMI=-0.0006, Sil=-0.0724, Recon=0.263074, CPUmem=8.2MB, Time=4.6s
2026-03-29 11:41:56 | experiment | INFO | 
--- pbmc3k | vae:mse | d=64 | seed=43 ---
2026-03-29 11:42:01 | experiment | INFO |   -> ARI=0.0002, AMI=-0.0007, Sil=-0.1219, Recon=0.262891, CPUmem=8.2MB, Time=5.4s
2026-03-29 11:42:01 | experiment | INFO | 
--- pbmc3k | vae:mse | d=64 | seed=44 ---
2026-03-29 11:42:06 | experiment | INFO |   -> ARI=0.0006, AMI=0.0001, Sil=-0.0370, Recon=0.263086, CPUmem=7.2MB, Time=4.8s
2026-03-29 11:42:06 | experiment | INFO | 
--- pbmc3k | scvi:nb | d=2 | seed=42 ---
[rank: 0] Seed set to 42
/home/hpc/iwbn/iwbn129h/.local/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py:204: The `srun` command is available on your system but is not used. HINT: If your intention is to run Lightning on SLURM, prepend your python command with `srun` like so: srun python scripts/run_experiment.py --config config/default.ya ...
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
💡 Tip: For seamless cloud logging and experiment tracking, try installing [litlogger](https://pypi.org/project/litlogger/) to enable LitLogger, which logs metrics and artifacts automatically to the Lightning Experiments platform.
/home/hpc/iwbn/iwbn129h/.local/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py:204: The `srun` command is available on your system but is not used. HINT: If your intention is to run Lightning on SLURM, prepend your python command with `srun` like so: srun python scripts/run_experiment.py --config config/default.ya ...
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
/home/hpc/iwbn/iwbn129h/.local/lib/python3.12/site-packages/lightning/pytorch/utilities/_pytree.py:21: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
/home/hpc/iwbn/iwbn129h/.local/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/data_connector.py:434: The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=31` in the `DataLoader` to improve performance.
/home/hpc/iwbn/iwbn129h/.local/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/data_connector.py:434: The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=31` in the `DataLoader` to improve performance.
